2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_value with data[562:610]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_field with data[612:624]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_value with data[626:650]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_data with data[654:5659]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_end with no data
2026-05-16 16:38:50,270 | INFO | routes.report_gen |  the filetype is valid
2026-05-16 16:38:50,271 | INFO | services.validation | Starting the data validation process
2026-05-16 16:38:50,281 | INFO | services.validation | Validating dataframe not empty : passed
2026-05-16 16:38:50,284 | INFO | services.validation | checking the mandatory columns : passed
2026-05-16 16:38:50,289 | INFO | services.validation | validating the columns type : passed
2026-05-16 16:38:50,293 | INFO | services.validation | Validating the expected values : Passed
2026-05-16 16:38:50,293 | INFO | services.validation | Validating the None , Nan ,condition : Passed
2026-05-16 16:38:50,293 | INFO | services.text_Validation | started the text validation 
2026-05-16 16:38:50,293 | INFO | services.text_Validation | started the text validation : PASSED
2026-05-16 16:38:50,293 | INFO | services.KPIs_calculation | starting the Kpi calculation
2026-05-16 16:38:50,347 | INFO | services.KPIs_calculation | Kpi calculated successfully
2026-05-16 16:38:50,348 | INFO | services.data_injection | Started data injection
2026-05-16 16:38:50,373 | INFO | services.data_injection | Data injected successfull
2026-05-16 16:38:50,373 | INFO | services.storing_aggTables | storing the aggregation tables ...
2026-05-16 16:38:50,393 | INFO | services.storing_aggTables | storage of the aggregation tables : PASSED
2026-05-16 16:39:58,859 | INFO | main |  app shutting down ...
2026-05-16 16:39:59,721 | INFO | main | App starting
2026-05-16 16:39:59,722 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 16:40:03,281 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:40:03,281 | DEBUG | python_multipart.multipart | Calling on_header_field with data[57:76]
2026-05-16 16:40:03,281 | DEBUG | python_multipart.multipart | Calling on_header_value with data[78:114]
2026-05-16 16:40:03,281 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_data with data[118:124]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_field with data[183:202]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_value with data[204:240]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_data with data[244:250]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
